16	5	3	0	0	0	0	0
145	124	88	56	47	40	39	35
1912	1829	1727	1615	1568	1529	1494	1459
11393	11225	11269	11155	11090	10972	10913	10936
22531	22410	22362	22377	22130	22119	22125	22059
31209	31473	31430	31334	31221	31252	31079	30960
47681	46874	45992	46705	47085	45790	45559	45823
